n_obs,signed_area,xcorr_optimal_lag,xcorr_max_corr,granger_best_lag,granger_best_pval,event_type,event_date,equity_ticker,pm_slug
1721,0.16467931003006772,6,0.027606178590948084,10.0,0.040743,GDP,2025-05-01 16:00:00+00:00,TLT,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
1722,0.023931957060290554,0,0.18936211071100115,3.0,3e-06,GDP,2025-03-03 19:00:00+00:00,GLD,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
2792,-0.04279088319087726,0,0.13899892009411569,2.0,7e-06,GDP,2025-03-06 19:00:00+00:00,GLD,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
3447,0.7041871165644205,-20,-0.0339749228572925,1.0,0.284988,GDP,2025-03-17 17:00:00+00:00,GLD,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
3806,0.729469816272966,-41,0.030214478439212083,1.0,0.297073,GDP,2025-03-18 16:30:00+00:00,GLD,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
4272,0.17650139395859715,55,-0.07223303728434596,1.0,0.527041,GDP,2025-03-26 14:30:00+00:00,GLD,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
4082,0.09031634959864568,55,-0.06773541650263096,8.0,0.623951,GDP,2025-03-27 12:30:00+00:00,GLD,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
4082,0.09031634959864568,55,-0.06773541650263096,8.0,0.623951,GDP,2025-03-27 12:30:00+00:00,GLD,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
4082,0.09031634959864568,55,-0.06773541650263096,8.0,0.623951,GDP,2025-03-27 12:30:00+00:00,GLD,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
4082,0.09031634959864568,55,-0.06773541650263096,8.0,0.623951,GDP,2025-03-27 12:30:00+00:00,GLD,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
4251,-0.43283667370208506,6,-0.117100874825561,6.0,0.0,GDP,2025-04-01 17:00:00+00:00,GLD,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
4164,-0.348116933539758,6,-0.10905619845470454,6.0,0.0,GDP,2025-04-03 16:30:00+00:00,GLD,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
3736,0.015416475612498988,27,-0.041107390582982434,1.0,0.778357,GDP,2025-04-16 17:00:00+00:00,GLD,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
3357,0.018220461672146526,27,-0.0428886729085002,1.0,0.78257,GDP,2025-04-17 14:30:00+00:00,GLD,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
4238,-0.1675685389242025,0,0.11565048697701173,5.0,0.484065,GDP,2025-04-24 17:00:00+00:00,GLD,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
2225,-0.02453019789526663,11,0.053682885855041114,8.0,0.469596,GDP,2025-04-29 14:30:00+00:00,GLD,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
2225,-0.02453019789526663,11,0.053682885855041114,8.0,0.469596,GDP,2025-04-30 12:30:00+00:00,GLD,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
2225,-0.02453019789526663,11,0.053682885855041114,8.0,0.469596,GDP,2025-04-30 12:30:00+00:00,GLD,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
2225,-0.02453019789526663,11,0.053682885855041114,8.0,0.469596,GDP,2025-04-30 12:30:00+00:00,GLD,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
2225,-0.02453019789526663,11,0.053682885855041114,8.0,0.469596,GDP,2025-04-30 12:30:00+00:00,GLD,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
1773,-0.06562838152604913,11,0.058574881027635486,8.0,0.487611,GDP,2025-05-01 16:00:00+00:00,GLD,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
1513,0.19399348319406207,-42,0.14104517387645862,1.0,0.003322,GDP,2025-03-03 19:00:00+00:00,XLF,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
2429,0.09376519987399906,-42,0.10139038228890027,1.0,0.001866,GDP,2025-03-06 19:00:00+00:00,XLF,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
2687,0.41339300513840527,1,-0.048095501142834285,1.0,0.008611,GDP,2025-03-17 17:00:00+00:00,XLF,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
3013,0.43088936773670766,1,-0.0455210282179223,1.0,0.006847,GDP,2025-03-18 16:30:00+00:00,XLF,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
3283,0.018227283555556084,45,-0.044629623512275146,2.0,0.363672,GDP,2025-03-26 14:30:00+00:00,XLF,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
3147,-0.07455493866666729,45,-0.05318055303264813,1.0,0.267668,GDP,2025-03-27 12:30:00+00:00,XLF,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
3147,-0.07455493866666729,45,-0.05318055303264813,1.0,0.267668,GDP,2025-03-27 12:30:00+00:00,XLF,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
3147,-0.07455493866666729,45,-0.05318055303264813,1.0,0.267668,GDP,2025-03-27 12:30:00+00:00,XLF,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
3147,-0.07455493866666729,45,-0.05318055303264813,1.0,0.267668,GDP,2025-03-27 12:30:00+00:00,XLF,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
3494,-0.2947876259321398,-31,0.08104386067064269,3.0,1e-06,GDP,2025-04-01 17:00:00+00:00,XLF,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
3482,-0.23384093064992587,-31,0.07775451113439645,3.0,1.2e-05,GDP,2025-04-03 16:30:00+00:00,XLF,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
2669,-0.3417182987141463,46,-0.12464403050567173,1.0,0.269155,GDP,2025-04-16 17:00:00+00:00,XLF,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
2396,-0.34282281569403417,46,-0.14015826334434275,1.0,0.254823,GDP,2025-04-17 14:30:00+00:00,XLF,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
3089,-0.19541314044605063,-57,-0.13258131903104511,2.0,0.097275,GDP,2025-04-24 17:00:00+00:00,XLF,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
1507,0.20051044437570922,-26,-0.09102340034585701,2.0,0.052785,GDP,2025-04-29 14:30:00+00:00,XLF,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
1507,0.20051044437570922,-26,-0.09102340034585701,2.0,0.052785,GDP,2025-04-30 12:30:00+00:00,XLF,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
1507,0.20051044437570922,-26,-0.09102340034585701,2.0,0.052785,GDP,2025-04-30 12:30:00+00:00,XLF,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
1507,0.20051044437570922,-26,-0.09102340034585701,2.0,0.052785,GDP,2025-04-30 12:30:00+00:00,XLF,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
1507,0.20051044437570922,-26,-0.09102340034585701,2.0,0.052785,GDP,2025-04-30 12:30:00+00:00,XLF,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
1197,0.19392818503625875,-26,-0.09542875759651893,2.0,0.077672,GDP,2025-05-01 16:00:00+00:00,XLF,will-us-gdp-growth-be-between-1-and-2-in-q1-2025
